actor;sex;movies;actorProductivity;topMovie;topMovieRevenue;totalRevenue;avRevenue;birthday;launchdateTopMovie;comingMovie;dateComingMovie;Height;bornInCity;bornInCountry;MarrialStatus;Children;Dead;comingEvents;comingMovie2;dateComingMovie2;comingMovie3;dateComingMovie3
Jake Gyllenhaal;Male;22;MiddleSegment 16-30 movies;The Day After Tomorrow;187;843;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Maggie Gyllenhaal;Female;25;MiddleSegment 16-30 movies;The Dark Knight;535;977;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lukas Haas;Male;21;MiddleSegment 16-30 movies;Witness;69;260;12;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Corey Haim;Female;10;LowerSegment 3-15 movies;The Lost Boys;32;141;14;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jackie Earle Haley;Female;14;LowerSegment 3-15 movies;Shutter Island;128;561;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rebecca Hall;Female;14;LowerSegment 3-15 movies;Iron Man 3;409;675;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Regina Hall;Female;14;LowerSegment 3-15 movies;Scary Movie;157;802;57;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mark Hamill;Male;10;LowerSegment 3-15 movies;Star Wars;461;1237;124;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jon Hamm;Male;11;LowerSegment 3-15 movies;Minions;332;718;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Armie Hammer;Female;6;LowerSegment 3-15 movies;The Social Network;97;333;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tom Hanks;Male;42;UpperSegment 31-74 movies;Toy Story 3;415;4264;102;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tom Hardy;Male;16;MiddleSegment 16-30 movies;The Dark Knight Rises;448;1090;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Woody Harrelson;Male;47;UpperSegment 31-74 movies;Catching Fire;425;2456;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ed Harris;Male;48;UpperSegment 31-74 movies;National Treasure: Book of Secrets;220;1772;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jamie Harris;Male;7;LowerSegment 3-15 movies;Rise of the Planet of the Apes;177;314;45;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jared Harris;Male;27;MiddleSegment 16-30 movies;Sherlock Holmes 2;187;850;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Naomie Harris;Female;14;LowerSegment 3-15 movies;Dead Man's Chest;423;1300;93;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Neil Patrick Harris;Male;14;LowerSegment 3-15 movies;Gone Girl;168;812;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kevin Hart;Male;17;MiddleSegment 16-30 movies;Ride Along;135;833;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Hartnett;Male;18;MiddleSegment 16-30 movies;Pearl Harbor;199;678;38;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anne Hathaway;Female;23;MiddleSegment 16-30 movies;The Dark Knight Rises;448;2264;98;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rutger Hauer;Male;25;MiddleSegment 16-30 movies;Sin City;74;245;10;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ethan Hawke;Male;39;UpperSegment 31-74 movies;Dead Poets Society;96;685;18;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sally Hawkins;Female;15;LowerSegment 3-15 movies;Godzilla;201;337;22;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lena Headey;Female;20;MiddleSegment 16-30 movies;300;211;543;27;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Amber Heard;Female;11;LowerSegment 3-15 movies;Pineapple Express;87;213;19;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jon Heder;Male;7;LowerSegment 3-15 movies;Blades of Glory;119;348;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Garrett Hedlund;Male;10;LowerSegment 3-15 movies;Tron Legacy;172;561;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Katherine Heigl;Female;16;MiddleSegment 16-30 movies;Knocked Up;149;746;47;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ed Helms;Male;10;LowerSegment 3-15 movies;The Hangover;277;1104;110;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Hemsworth;Male;12;LowerSegment 3-15 movies;The Avengers;623;1820;152;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Liam Hemsworth;Male;8;LowerSegment 3-15 movies;Catching Fire;425;1405;176;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lance Henriksen;Male;24;MiddleSegment 16-30 movies;Scream 3;89;548;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Taraji P. Henson;Female;18;MiddleSegment 16-30 movies;The Karate Kid;177;925;51;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Katharine Hepburn;Female;3;LowerSegment 3-15 movies;On Golden Pond;119;194;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Werner Herzog;Male;4;LowerSegment 3-15 movies;Jack Reacher;80;80;20;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jennifer Love Hewitt;Female;12;LowerSegment 3-15 movies;Garfield;75;334;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tom Hiddleston;Male;9;LowerSegment 3-15 movies;The Avengers;623;1151;128;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Freddie Highmore;Male;8;LowerSegment 3-15 movies;Charlie and the Chocolate Factory;207;405;51;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jonah Hill;Male;26;MiddleSegment 16-30 movies;The LEGO Movie;258;2449;94;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dustin Hoffman;Male;41;UpperSegment 31-74 movies;Meet the Fockers;279;2379;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Philip Seymour Hoffman;Male;39;UpperSegment 31-74 movies;Catching Fire;425;2182;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Boyd Holbrook;Female;4;LowerSegment 3-15 movies;Run All Night;27;58;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ian Holm;Male;30;MiddleSegment 16-30 movies;Return of the King;378;1308;44;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Katie Holmes;Female;21;MiddleSegment 16-30 movies;Batman Begins;207;574;27;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anthony Hopkins;Male;52;UpperSegment 31-74 movies;Mission: Impossible II;215;2033;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Cody Horn;Male;3;LowerSegment 3-15 movies;Magic Mike;114;155;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thomas Horn;Male;1;BeginnerSegment 1-2 movies;Extremely Loud & Incredibly Close;32;32;32;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Julianne Hough;Female;4;LowerSegment 3-15 movies;Safe Haven;71;201;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nicholas Hoult;Male;10;LowerSegment 3-15 movies;X-Men: Days of Future Past;234;729;73;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Whitney Houston;Female;4;LowerSegment 3-15 movies;Bodyguard;122;262;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ron Howard;Male;4;LowerSegment 3-15 movies;American Graffiti;115;139;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Terrence Howard;Male;33;UpperSegment 31-74 movies;Iron Man;318;1399;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Vanessa Hudgens;Female;8;LowerSegment 3-15 movies;Journey 2;104;287;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kate Hudson;Female;22;MiddleSegment 16-30 movies;How to Lose a Guy;106;578;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bonnie Hunt;Female;17;MiddleSegment 16-30 movies;Cars;244;1248;73;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Helen Hunt;Female;20;MiddleSegment 16-30 movies;Twister;242;997;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Holly Hunter;Female;26;MiddleSegment 16-30 movies;The Incredibles;261;756;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rosie Huntington-Whiteley;Female;2;BeginnerSegment 1-2 movies;Transformers 3;352;506;253;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Hutcherson;Male;16;MiddleSegment 16-30 movies;Catching Fire;425;1813;113;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rhys Ifans;Female;26;MiddleSegment 16-30 movies;The Amazing Spider-Man;262;602;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Dustin Ingram;Male;2;BeginnerSegment 1-2 movies;Paranormal Activity 3;104;104;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Max Irons;Male;4;LowerSegment 3-15 movies;Red Riding Hood;38;98;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hugh Jackman;Male;23;MiddleSegment 16-30 movies;X-Men: The Last Stand;234;2238;97;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Brandon T. Jackson;Male;8;LowerSegment 3-15 movies;Tropic Thunder;111;408;51;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Quinton 'Rampage' Jackson;Male;2;BeginnerSegment 1-2 movies;The A-Team;77;77;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Samuel L. Jackson;Male;66;UpperSegment 31-74 movies;The Avengers;623;4590;70;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kevin James;Male;12;LowerSegment 3-15 movies;Hitch;180;1217;101;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Theo James;Male;3;LowerSegment 3-15 movies;Divergent;151;343;115;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Thomas Jane;Male;17;MiddleSegment 16-30 movies;Deep Blue Sea;74;209;12;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Famke Janssen;Female;31;UpperSegment 31-74 movies;X-Men: The Last Stand;234;1429;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jim Jarmusch;Male;1;BeginnerSegment 1-2 movies;Blue in the Face;1;1;1;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Scarlett Johansson;Female;34;UpperSegment 31-74 movies;The Avengers;623;2539;75;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Aaron Johnson;Male;10;LowerSegment 3-15 movies;Avengers: Age of Ultron;459;862;86;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jake Johnson;Male;9;LowerSegment 3-15 movies;Jurassic World;649;808;90;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Angelina Jolie;Female;30;MiddleSegment 16-30 movies;Maleficent;241;2035;68;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Felicity Jones;Female;10;LowerSegment 3-15 movies;The Theory of Everything;36;50;5;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
January Jones;Male;9;LowerSegment 3-15 movies;X-Men: First Class;146;378;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rashida Jones;Female;11;LowerSegment 3-15 movies;The Social Network;97;358;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tommy Lee Jones;Male;43;UpperSegment 31-74 movies;Men in Black;251;2495;58;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael B. Jordan;Male;4;LowerSegment 3-15 movies;Chronicle;65;162;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Milla Jovovich;Female;24;MiddleSegment 16-30 movies;Fifth Element;64;504;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ashley Judd;Female;26;MiddleSegment 16-30 movies;Divergent;151;1043;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Miranda July;Female;2;BeginnerSegment 1-2 movies;Me and You and Everyone We Know;4;5;2;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mindy Kaling;Female;3;LowerSegment 3-15 movies;Inside Out;352;467;156;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Philip Kaufman;Male;7;LowerSegment 3-15 movies;Rising Sun;63;163;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zoe Kazan;Male;13;LowerSegment 3-15 movies;It's Complicated;113;190;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Diane Keaton;Female;36;UpperSegment 31-74 movies;The Godfather;135;1213;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Michael Keaton;Male;34;UpperSegment 31-74 movies;Toy Story 3;415;2077;61;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Minka Kelly;Female;1;BeginnerSegment 1-2 movies;The Roommate;37;37;37;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Alex Kendrick;Male;3;LowerSegment 3-15 movies;Courageous;35;78;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anna Kendrick;Female;16;MiddleSegment 16-30 movies;Pitch Perfect 2;184;674;42;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nicole Kidman;Female;41;UpperSegment 31-74 movies;Happy Feet;198;1644;40;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Val Kilmer;Female;34;UpperSegment 31-74 movies;Batman Forever;184;1041;31;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Joey King;Male;6;LowerSegment 3-15 movies;Oz The Great and Powerful;235;560;93;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ben Kingsley;Male;48;UpperSegment 31-74 movies;Iron Man 3;409;1688;35;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Greg Kinnear;Male;34;UpperSegment 31-74 movies;As Good as It Gets;149;1147;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Taylor Kitsch;Female;8;LowerSegment 3-15 movies;X-Men Origins: Wolverine;180;552;69;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Chris Klein;Male;14;LowerSegment 3-15 movies;American Pie 2;145;482;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kevin Kline;Male;38;UpperSegment 31-74 movies;Wild Wild West;114;991;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Keira Knightley;Female;23;MiddleSegment 16-30 movies;Dead Man's Chest;423;1490;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Beyonce Knowles;Female;7;LowerSegment 3-15 movies;Goldmember;213;613;88;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Johnny Knoxville;Male;15;LowerSegment 3-15 movies;Ninja Turtles;191;930;62;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Boris Kodjoe;Male;8;LowerSegment 3-15 movies;Madea's Family Reunion;63;286;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Krasinski;Male;16;MiddleSegment 16-30 movies;It's Complicated;113;361;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Peter Krause;Male;4;LowerSegment 3-15 movies;Truman Show;126;156;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lenny Kravitz;Male;4;LowerSegment 3-15 movies;Catching Fire;425;997;249;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lisa Kudrow;Female;18;MiddleSegment 16-30 movies;Analyze This;107;434;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Mila Kunis;Female;15;LowerSegment 3-15 movies;Oz The Great and Powerful;235;985;66;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Olga Kurylenko;Female;11;LowerSegment 3-15 movies;Quantum of Solace;168;392;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ashton Kutcher;Female;19;MiddleSegment 16-30 movies;Cheaper by the Dozen;139;957;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Shia LaBeouf;Female;20;MiddleSegment 16-30 movies;Transformers 2;402;2129;106;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Diane Lane;Female;37;UpperSegment 31-74 movies;Inside Out;352;1441;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Frank Langella;Male;32;UpperSegment 31-74 movies;Superman Returns;200;679;21;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Larry the Cable Guy;Male;6;LowerSegment 3-15 movies;Cars;244;464;77;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ali Larter;Male;12;LowerSegment 3-15 movies;Legally Blonde;97;553;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sanaa Lathan;Female;13;LowerSegment 3-15 movies;Alien Vs. Predator;80;430;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Queen Latifah;Female;28;MiddleSegment 16-30 movies;Ice Age 3;197;1809;65;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Melanie Laurent;Female;6;LowerSegment 3-15 movies;Inglourious Basterds;121;246;41;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Hugh Laurie;Male;17;MiddleSegment 16-30 movies;Monsters Vs. Aliens;198;890;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Taylor Lautner;Female;8;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1482;185;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jude Law;Female;38;UpperSegment 31-74 movies;Sherlock Holmes;209;1630;43;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jennifer Lawrence;Female;14;LowerSegment 3-15 movies;Catching Fire;425;1875;134;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Martin Lawrence;Male;24;MiddleSegment 16-30 movies;Wild Hogs;168;1291;54;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Sharon Leal;Female;6;LowerSegment 3-15 movies;Dreamgirls;103;297;50;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matt LeBlanc;Male;3;LowerSegment 3-15 movies;Lost in Space;69;74;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Heath Ledger;Female;15;LowerSegment 3-15 movies;The Dark Knight;535;956;64;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Christopher Lee;Male;4;LowerSegment 3-15 movies;Fellowship of the Ring;316;612;153;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
John Leguizamo;Male;48;UpperSegment 31-74 movies;Ice Age 3;197;1723;36;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Melissa Leo;Female;27;MiddleSegment 16-30 movies;The Equalizer;102;624;23;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Tea Leoni;Female;13;LowerSegment 3-15 movies;Jurassic Park III;181;730;56;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Logan Lerman;Male;13;LowerSegment 3-15 movies;Noah;101;503;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Zachary Levi;Male;5;LowerSegment 3-15 movies;Alvin and the Chipmunks 2;220;697;139;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jet Li;Female;17;MiddleSegment 16-30 movies;Lethal Weapon 4;130;822;48;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Matthew Lillard;Male;25;MiddleSegment 16-30 movies;Scooby-Doo;153;717;29;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Evangeline Lilly;Female;4;LowerSegment 3-15 movies;The Hobbit 2;258;776;194;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Laura Linney;Female;32;UpperSegment 31-74 movies;Truman Show;126;758;24;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lucy Liu;Female;17;MiddleSegment 16-30 movies;Kung Fu Panda;215;895;53;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Blake Lively;Male;8;LowerSegment 3-15 movies;Green Lantern;117;419;52;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Ron Livingston;Male;22;MiddleSegment 16-30 movies;The Conjuring;137;391;18;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Lindsay Lohan;Female;15;LowerSegment 3-15 movies;Freaky Friday;110;492;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Justin Long;Male;32;UpperSegment 31-74 movies;Alvin and the Chipmunks 2;220;1455;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Nia Long;Female;20;MiddleSegment 16-30 movies;Big Momma's House;118;776;39;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jennifer Lopez;Female;26;MiddleSegment 16-30 movies;Home;177;1190;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Rob Lowe;Male;22;MiddleSegment 16-30 movies;The Spy Who Shagged Me;206;608;28;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Jessica Lucas;Female;5;LowerSegment 3-15 movies;Cloverfield;80;229;46;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Josh Lucas;Male;24;MiddleSegment 16-30 movies;A Beautiful Mind;171;791;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Derek Luke;Male;17;MiddleSegment 16-30 movies;Captain America;177;583;34;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Diego Luna;Male;13;LowerSegment 3-15 movies;Elysium;93;338;26;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Kellan Lutz;Male;14;LowerSegment 3-15 movies;The Twilight Saga: Eclipse;301;1483;106;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Bernie Mac;Male;14;LowerSegment 3-15 movies;Ocean's Eleven;183;990;71;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Seth MacFarlane;Male;5;LowerSegment 3-15 movies;Ted;219;479;96;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Anthony Mackie;Male;28;MiddleSegment 16-30 movies;Avengers: Age of Ultron;459;1372;49;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
William H. Macy;Male;37;UpperSegment 31-74 movies;Jurassic Park III;181;1232;33;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Madonna;Female;14;LowerSegment 3-15 movies;League of Their Own;108;349;25;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
Virginia Madsen;Female;28;MiddleSegment 16-30 movies;Sideways;72;420;15;No info;No info;No info;No info;No info;No info;No info;No info;No info;Alive;No info;No info;No info;No info;No info
